match_id,season,date,target_runs,wickets_lost_inn1,winner,is_high_target,run_wickets_pressure_inn1,chasing_team_won,city_encoded,venue_encoded,team1_bat_first_encoded,team2_chase_encoded,toss_winner_encoded,toss_decision_encoded
335982,2008,18-04-2008,223,3,Kolkata Knight Riders,1,55.75,0,2,16,3,8,8,1
335983,2008,19-04-2008,241,5,Chennai Super Kings,1,40.166666666666664,0,6,26,0,6,0,0
335984,2008,19-04-2008,130,8,Delhi Capitals,0,14.444444444444445,1,9,11,7,1,7,0
335985,2008,20-04-2008,166,7,Royal Challengers Bengaluru,0,20.75,1,23,37,5,8,5,0
335986,2008,20-04-2008,111,10,Kolkata Knight Riders,0,10.090909090909092,1,20,10,9,3,9,0
335987,2008,21-04-2008,167,8,Rajasthan Royals,0,18.555555555555557,1,17,29,6,7,6,0
335988,2008,22-04-2008,143,8,Delhi Capitals,0,15.88888888888889,1,15,27,9,1,9,0
335989,2008,23-04-2008,209,5,Chennai Super Kings,1,34.833333333333336,0,7,18,0,5,5,1
335990,2008,24-04-2008,215,5,Rajasthan Royals,1,35.833333333333336,1,15,27,9,7,7,1
335991,2008,25-04-2008,183,10,Punjab Kings,0,16.636363636363637,0,6,26,6,5,5,1
335992,2008,26-04-2008,136,8,Rajasthan Royals,0,15.11111111111111,1,2,16,8,7,7,1
335993,2008,26-04-2008,148,9,Chennai Super Kings,0,14.8,1,7,18,3,0,3,0
335994,2008,27-04-2008,155,7,Sunrisers Hyderabad,0,19.375,1,23,7,5,9,9,1
335995,2008,27-04-2008,159,8,Punjab Kings,0,17.666666666666668,1,6,26,1,6,1,0
335996,2008,28-04-2008,179,5,Chennai Super Kings,0,29.833333333333332,0,2,16,0,8,0,0
335997,2008,29-04-2008,138,8,Mumbai Indians,0,15.333333333333334,1,20,10,3,5,3,0
335998,2008,30-04-2008,192,5,Delhi Capitals,1,32.0,0,9,11,1,8,8,1
335999,2008,01-05-2008,165,8,Punjab Kings,0,18.333333333333332,1,15,27,9,6,6,1
336000,2008,01-05-2008,197,7,Rajasthan Royals,1,24.625,0,17,29,7,3,7,0
336001,2008,02-05-2008,170,6,Delhi Capitals,0,24.285714285714285,1,7,18,0,1,0,0
336002,2008,25-05-2008,166,10,Royal Challengers Bengaluru,0,15.090909090909092,1,15,27,9,8,9,0
336003,2008,03-05-2008,179,6,Punjab Kings,0,25.571428571428573,0,6,26,6,3,6,0
336004,2008,04-05-2008,163,8,Mumbai Indians,0,18.11111111111111,0,23,7,5,1,1,1
336005,2008,04-05-2008,110,10,Rajasthan Royals,0,10.0,1,17,29,0,7,0,0
336006,2008,05-05-2008,127,10,Punjab Kings,0,11.545454545454545,1,2,16,8,6,6,1
336007,2008,06-05-2008,145,7,Sunrisers Hyderabad,0,18.125,1,7,18,0,9,9,1
336008,2008,07-05-2008,104,10,Mumbai Indians,0,9.454545454545455,1,23,7,7,5,5,1
336009,2008,08-05-2008,188,5,Chennai Super Kings,0,31.333333333333332,1,9,11,1,0,0,1
336010,2008,08-05-2008,130,7,Kolkata Knight Riders,0,16.25,0,20,10,3,8,3,0
336011,2008,09-05-2008,141,8,Rajasthan Royals,0,15.666666666666666,1,17,29,9,7,7,1
336012,2008,28-05-2008,123,9,Mumbai Indians,0,12.3,1,2,16,8,5,5,1
336013,2008,10-05-2008,182,4,Chennai Super Kings,0,36.4,0,7,18,0,6,6,1
336014,2008,11-05-2008,205,4,Kolkata Knight Riders,1,41.0,0,15,27,3,9,3,0
336015,2008,11-05-2008,157,7,Rajasthan Royals,0,19.625,1,17,29,1,7,7,1
336016,2008,12-05-2008,144,8,Punjab Kings,0,16.0,1,6,26,8,6,8,0
336017,2008,13-05-2008,134,6,Kolkata Knight Riders,0,19.142857142857142,0,20,10,3,1,3,0
336018,2008,14-05-2008,157,6,Mumbai Indians,0,22.428571428571427,1,23,37,0,5,5,1
336019,2008,28-05-2008,222,3,Punjab Kings,1,55.5,0,6,26,6,7,7,1
336020,2008,15-05-2008,195,4,Delhi Capitals,1,39.0,0,9,11,1,9,9,1
